CU ,year,spwn,harv,SMU
Lower Nass,1982,3312.5,2493.932029,Nass
Lower Nass,1983,2700.034069,2032.81553,Nass
Lower Nass,1984,3900,2936.252049,Nass
Lower Nass,1985,2040.530048,1536.284753,Nass
Lower Nass,1986,2637.5,829.9825481,Nass
Lower Nass,1987,2680.406053,844.9346659,Nass
Lower Nass,1988,1803.185041,568.4087017,Nass
Lower Nass,1989,1268.052529,399.5073449,Nass
Lower Nass,1990,2785,874.9523743,Nass
Lower Nass,1991,1319.11785,810.2097324,Nass
Lower Nass,1992,1182.5,1300.390665,Nass
Lower Nass,1993,1238.758236,1047.521483,Nass
Lower Nass,1994,3802.582102,3074.314228,Nass
Lower Nass,1995,1073.114527,1702.98538,Nass
Lower Nass,1996,1281.491016,1155.960089,Nass
Lower Nass,1997,1785.294957,1557.106947,Nass
Lower Nass,1998,1562.117686,1476.204659,Nass
Lower Nass,1999,1082.019341,1548.940324,Nass
Lower Nass,2000,1601.740099,1252.062731,Nass
Lower Nass,2001,4527.309452,2532.272242,Nass
Lower Nass,2002,1752.483553,1769.418906,Nass
Lower Nass,2003,2575.444868,1596.16158,Nass
Lower Nass,2004,1956.040668,1953.471113,Nass
Lower Nass,2005,2214.795872,1819.934981,Nass
Lower Nass,2006,4916.942476,3022.223908,Nass
Lower Nass,2007,3377.872243,2159.939787,Nass
Lower Nass,2008,2707.695495,1029.719278,Nass
Lower Nass,2009,3876.280912,1414.857533,Nass
Lower Nass,2010,2438.138099,876.862898,Nass
Lower Nass,2011,1418.845381,1189.795585,Nass
Lower Nass,2012,1417.83205,1041.241188,Nass
Lower Nass,2013,1363.36915,1141.327502,Nass
Lower Nass,2014,1705.253054,1488.654395,Nass
Lower Nass,2015,2592.936073,1830.420903,Nass
Lower Nass,2016,1335.721837,1202.73805,Nass
Lower Nass,2017,653.1779503,888.0853953,Nass
Lower Nass,2018,2138.709098,1003.167397,Nass
Lower Nass,2019,2069.175215,1620.447353,Nass
Lower Nass,2020,2003.502231,1023.918306,Nass
Lower Nass,2021,1574.51604,938.3747313,Nass
Lower Nass,2022,3101.893989,593.0591137,Nass
Lower Nass,2023,2503.648949,738.6603976,Nass
Lower Nass,2024,5459.053756,6134.996478,Nass
Upper Nass,1982,NA,NA,Nass
Upper Nass,1983,NA,NA,Nass
Upper Nass,1984,NA,NA,Nass
Upper Nass,1985,NA,NA,Nass
Upper Nass,1986,NA,NA,Nass
Upper Nass,1987,NA,NA,Nass
Upper Nass,1988,NA,NA,Nass
Upper Nass,1989,28133.12091,8863.503822,Nass
Upper Nass,1990,24051.46014,7556.151583,Nass
Upper Nass,1991,6906.565384,4242.051984,Nass
Upper Nass,1992,16808,18483.69244,Nass
Upper Nass,1993,24814,20983.26963,Nass
Upper Nass,1994,21169,17114.72788,Nass
Upper Nass,1995,7844,12448.08171,Nass
Upper Nass,1996,21842,19702.42473,Nass
Upper Nass,1997,18702,16311.59826,Nass
Upper Nass,1998,23212.99767,21936.33401,Nass
Upper Nass,1999,11544,16525.5522,Nass
Upper Nass,2000,18046.70399,14106.91129,Nass
Upper Nass,2001,28329,15845.3362,Nass
Upper Nass,2002,13352,13481.02879,Nass
Upper Nass,2003,25848.36761,16019.82314,Nass
Upper Nass,2004,15184.75174,15164.80427,Nass
Upper Nass,2005,13706.4869,11262.85058,Nass
Upper Nass,2006,23594.27408,14502.34156,Nass
Upper Nass,2007,22136.3129,14154.7991,Nass
Upper Nass,2008,19630,7465.163443,Nass
Upper Nass,2009,26226,9572.591484,Nass
Upper Nass,2010,18381,6610.625105,Nass
Upper Nass,2011,9599.57232,8049.875571,Nass
Upper Nass,2012,8687.658926,6380.126826,Nass
Upper Nass,2013,8010.835631,6706.171263,Nass
Upper Nass,2014,11509,10047.14426,Nass
Upper Nass,2015,18262,12891.62,Nass
Upper Nass,2016,9037.178082,8137.441224,Nass
Upper Nass,2017,4419.24755,6008.575772,Nass
Upper Nass,2018,14470,6787.193383,Nass
Upper Nass,2019,10492.57143,8217.119298,Nass
Upper Nass,2020,12265.64831,6268.533994,Nass
Upper Nass,2021,11249.86778,6704.658055,Nass
Upper Nass,2022,13408.49337,2563.604437,Nass
Upper Nass,2023,10375.82595,3061.216599,Nass
Upper Nass,2024,12544.06673,14097.27924,Nass
