"","CU","year","spwn","spwn_cv","harv","SMU"
"1","Upper Nass",1994,21801.6083016707,0.373760488,15677.7164651678,"Nass"
"2","Upper Nass",1995,8364.00783832235,0.39965096,11697.7729658235,"Nass"
"3","Upper Nass",1996,20068.7231322823,0.411111111,17827.3677175453,"Nass"
"4","Upper Nass",1997,19738.8695113326,0.435156026,14965.7795976808,"Nass"
"5","Upper Nass",1998,23063.2694116736,0.446317878,20059.5257963103,"Nass"
"6","Upper Nass",1999,12017.7255572157,0.442696629,15292.2776047515,"Nass"
"7","Upper Nass",2000,16591.2980980569,0.391798107,12992.3120632945,"Nass"
"8","Upper Nass",2001,26912.91917555,0.436524356,15365.7074410829,"Nass"
"9","Upper Nass",2002,13148.982567913,0.395874653,12482.3767664199,"Nass"
"10","Upper Nass",2003,28299.7840842848,0.381180223,15234.3795389312,"Nass"
"11","Upper Nass",2004,12601.9140515878,0.359850062,13987.1430111785,"Nass"
"12","Upper Nass",2005,11993.3062930393,0.34462066,10678.7081890654,"Nass"
"13","Upper Nass",2006,20686.9274337304,0.364352536,14016.6507123722,"Nass"
"14","Upper Nass",2007,18556.3955774148,0.212925969,12919.3509906711,"Nass"
"15","Upper Nass",2008,19465.9574071183,0.413995884,6851.51387237766,"Nass"
"16","Upper Nass",2009,24415.330787887,0.363513817,9237.28703695681,"Nass"
"17","Upper Nass",2010,16008.5004966261,0.44966443,6405.73838758875,"Nass"
"18","Upper Nass",2011,9699.2759068675,0.41162608,7853.15129323445,"Nass"
"19","Upper Nass",2012,8425.88722433266,0.34359401,5958.56900609986,"Nass"
"20","Upper Nass",2013,8559.24054954636,0.218671679,6473.94495002083,"Nass"
"21","Upper Nass",2014,12481.3816511902,0.258708415,9669.05509321838,"Nass"
"22","Upper Nass",2015,17900.4200620507,0.452101802,12678.3949999185,"Nass"
"23","Upper Nass",2016,10128.4301830577,0.511520737,8053.30130606433,"Nass"
"24","Upper Nass",2017,5102.28058150723,0.373544093,5642.09728783515,"Nass"
"25","Upper Nass",2018,16276.055377417,0.316291962,6827.26245299713,"Nass"
"26","Upper Nass",2019,10788.6961274391,0.23764802,8209.87171589484,"Nass"
"27","Upper Nass",2020,12001.1734007048,0.258301158,6865.43078866415,"Nass"
"28","Upper Nass",2021,11197.2212557286,0.303308824,6909.99690105775,"Nass"
"29","Upper Nass",2022,13562.5266816358,0.279479648,4963.82829416707,"Nass"
"30","Upper Nass",2023,9285.46222428768,0.264150943,4164.61401329103,"Nass"
"31","Upper Nass",2024,11554.7694827257,0.234107847,6858.96598481721,"Nass"
"32","Upper Nass",2025,9614.92897200388,0.443169399,5791.23134993284,"Nass"
"33","Lower Nass",1992,2028.76882262825,0.21501193612253,1312,"Nass"
"34","Lower Nass",1993,2041.43410092023,0.239771570761532,1462,"Nass"
"35","Lower Nass",1994,6252.3078461567,0.249445444173174,3109,"Nass"
"36","Lower Nass",1995,1812.25014708903,0.245870292081342,1147,"Nass"
"37","Lower Nass",1996,2325.4860368479,0.329384799541162,1305,"Nass"
"38","Lower Nass",1997,2180.81393611157,0.264147633191826,1633,"Nass"
"39","Lower Nass",1998,2440.62417946951,0.247059915225887,1655,"Nass"
"40","Lower Nass",1999,1715.17844917985,0.245764264733877,1302,"Nass"
"41","Lower Nass",2000,2517.55146201762,0.292675800295663,862,"Nass"
"42","Lower Nass",2001,6286.78691850806,0.37406762504609,1190,"Nass"
"43","Lower Nass",2002,5931.86951330642,1.02838592550163,1315,"Nass"
"44","Lower Nass",2003,4599.35182979639,0.575899963570715,1074,"Nass"
"45","Lower Nass",2004,3882.57646393159,0.921162512532775,1607,"Nass"
"46","Lower Nass",2005,4574.64486683704,0.610476704907166,1104,"Nass"
"47","Lower Nass",2006,4698.70998463429,0.277515884587713,1918,"Nass"
"48","Lower Nass",2007,8496.34193129361,0.78321348053315,1565,"Nass"
"49","Lower Nass",2008,2790.24782607699,0.319554075060972,987,"Nass"
"50","Lower Nass",2009,5472.58396820833,0.586620973677272,739,"Nass"
"51","Lower Nass",2010,1598.85947225583,0.555442163387642,332,"Nass"
"52","Lower Nass",2011,1096.45872767868,0.645555497299998,533,"Nass"
"53","Lower Nass",2012,1481.56133825219,0.395821816433438,561,"Nass"
"54","Lower Nass",2013,1557.07974118117,0.377207091453493,496,"Nass"
"55","Lower Nass",2014,1649.41246114564,0.47054750873062,556,"Nass"
"56","Lower Nass",2015,2156.87201886621,0.495645409988504,705,"Nass"
"57","Lower Nass",2016,1144.80379853112,0.645405309235716,415,"Nass"
"58","Lower Nass",2017,601.851464342195,0.645860816553281,369,"Nass"
"59","Lower Nass",2018,1858.02351033495,0.645550311857249,264,"Nass"
"60","Lower Nass",2019,2458.8487862697,0.323322286781597,474,"Nass"
"61","Lower Nass",2020,2803.42042684316,0.55358377568593,222,"Nass"
"62","Lower Nass",2021,1853.73138886266,0.420519360916914,214,"Nass"
"63","Lower Nass",2022,1496.9063813581,0.272156548657779,419,"Nass"
"64","Lower Nass",2023,2832.04024381945,0.310635289529311,211,"Nass"
"65","Lower Nass",2024,6794.03849936883,0.423431355037722,477,"Nass"
"66","Lower Nass",2025,20620.8020219833,0.544911072056969,1256,"Nass"
"67","Nass Aggregate",1994,29891.3078461567,0.373760488,20108,"Nass"
"68","Nass Aggregate",1995,10997.250147089,0.39965096,13993,"Nass"
"69","Nass Aggregate",1996,24047.4860368479,0.411111111,20601,"Nass"
"70","Nass Aggregate",1997,23552.8139361116,0.435156026,17837,"Nass"
"71","Nass Aggregate",1998,27348.6241794695,0.446317878,23319,"Nass"
"72","Nass Aggregate",1999,14784.1784491799,0.442696629,17932,"Nass"
"73","Nass Aggregate",2000,20602.5514620176,0.391798107,15024,"Nass"
"74","Nass Aggregate",2001,35627.7869185081,0.436524356,17942,"Nass"
"75","Nass Aggregate",2002,20291.8695133064,0.395874653,14947,"Nass"
"76","Nass Aggregate",2003,35339.3518297964,0.381180223,17622,"Nass"
"77","Nass Aggregate",2004,17619.5764639316,0.359850062,16854,"Nass"
"78","Nass Aggregate",2005,17684.644866837,0.34462066,12777,"Nass"
"79","Nass Aggregate",2006,27279.7099846343,0.364352536,17218,"Nass"
"80","Nass Aggregate",2007,29136.3419312936,0.212925969,15935,"Nass"
"81","Nass Aggregate",2008,23837.247826077,0.413995884,8395,"Nass"
"82","Nass Aggregate",2009,31972.5839682083,0.363513817,10765,"Nass"
"83","Nass Aggregate",2010,19399.8594722558,0.44966443,7455,"Nass"
"84","Nass Aggregate",2011,11651.4587276787,0.41162608,9079,"Nass"
"85","Nass Aggregate",2012,10862.5613382522,0.34359401,7195,"Nass"
"86","Nass Aggregate",2013,10899.0797411812,0.218671679,7562,"Nass"
"87","Nass Aggregate",2014,15558.4124611456,0.258708415,11331,"Nass"
"88","Nass Aggregate",2015,21688.8720188662,0.452101802,14539,"Nass"
"89","Nass Aggregate",2016,12165.8037985311,0.511520737,9178,"Nass"
"90","Nass Aggregate",2017,6395.85146434219,0.373544093,6776,"Nass"
"91","Nass Aggregate",2018,19745.023510335,0.316291962,7767,"Nass"
"92","Nass Aggregate",2019,14172.8487862697,0.23764802,9388,"Nass"
"93","Nass Aggregate",2020,15632.4204268432,0.258301158,7561,"Nass"
"94","Nass Aggregate",2021,13619.7313888627,0.303308824,7475,"Nass"
"95","Nass Aggregate",2022,15906.9063813581,0.279479648,5693,"Nass"
"96","Nass Aggregate",2023,12591.0402438195,0.264150943,4588,"Nass"
"97","Nass Aggregate",2024,19272.0384993688,0.234107847,7884,"Nass"
"98","Nass Aggregate",2025,30980.8020219833,0.443169399,7496,"Nass"
