Return Year,CU ,SMU,Total ER,Spawners,Harvest
1982,Lower Nass,Nass,0.429511965,3312.5,2493.932029
1983,Lower Nass,Nass,0.429511965,2700.034069,2032.81553
1984,Lower Nass,Nass,0.429511965,3900,2936.252049
1985,Lower Nass,Nass,0.429511965,2040.530048,1536.284753
1986,Lower Nass,Nass,0.239361709,2637.5,829.9825481
1987,Lower Nass,Nass,0.239674611,2680.406053,844.9346659
1988,Lower Nass,Nass,0.239673723,1803.185041,568.4087017
1989,Lower Nass,Nass,0.239576012,1268.052529,399.5073449
1990,Lower Nass,Nass,0.239061137,2785,874.9523743
1991,Lower Nass,Nass,0.380500276,1319.11785,810.2097324
1992,Lower Nass,Nass,0.523740607,1182.5,1300.390665
1993,Lower Nass,Nass,0.458177306,1238.758236,1047.521483
1994,Lower Nass,Nass,0.447049669,3802.582102,3074.314228
1995,Lower Nass,Nass,0.613445278,1073.114527,1702.98538
1996,Lower Nass,Nass,0.47424955,1281.491016,1155.960089
1997,Lower Nass,Nass,0.465864666,1785.294957,1557.106947
1998,Lower Nass,Nass,0.485861766,1562.117686,1476.204659
1999,Lower Nass,Nass,0.588735869,1082.019341,1548.940324
2000,Lower Nass,Nass,0.438734841,1601.740099,1252.062731
2001,Lower Nass,Nass,0.358700041,4527.309452,2532.272242
2002,Lower Nass,Nass,0.502404291,1752.483553,1769.418906
2003,Lower Nass,Nass,0.382625159,2575.444868,1596.16158
2004,Lower Nass,Nass,0.499671371,1956.040668,1953.471113
2005,Lower Nass,Nass,0.451067258,2214.795872,1819.934981
2006,Lower Nass,Nass,0.380672701,4916.942476,3022.223908
2007,Lower Nass,Nass,0.390034869,3377.872243,2159.939787
2008,Lower Nass,Nass,0.275516457,2707.695495,1029.719278
2009,Lower Nass,Nass,0.267401344,3876.280912,1414.857533
2010,Lower Nass,Nass,0.264513615,2438.138099,876.862898
2011,Lower Nass,Nass,0.456097869,1418.845381,1189.795585
2012,Lower Nass,Nass,0.423428295,1417.83205,1041.241188
2013,Lower Nass,Nass,0.455674942,1363.36915,1141.327502
2014,Lower Nass,Nass,0.466091901,1705.253054,1488.654395
2015,Lower Nass,Nass,0.41380809,2592.936073,1830.420903
2016,Lower Nass,Nass,0.473806207,1335.721837,1202.73805
2017,Lower Nass,Nass,0.576206135,653.1779503,888.0853953
2018,Lower Nass,Nass,0.319289252,2138.709098,1003.167397
2019,Lower Nass,Nass,0.439190547,2069.175215,1620.447353
2020,Lower Nass,Nass,0.338214759,2003.502231,1023.918306
2021,Lower Nass,Nass,0.373424401,1574.51604,938.3747313
2022,Lower Nass,Nass,0.16050518,3101.893989,593.0591137
2023,Lower Nass,Nass,0.227819223,2503.648949,738.6603976
2024,Lower Nass,Nass,0.529150414,5459.053756,6134.996478
1982,Upper Nass,Nass,0.429511965,NA,NA
1983,Upper Nass,Nass,0.429511965,NA,NA
1984,Upper Nass,Nass,0.429511965,NA,NA
1985,Upper Nass,Nass,0.429511965,NA,NA
1986,Upper Nass,Nass,0.239361709,NA,NA
1987,Upper Nass,Nass,0.239674611,NA,NA
1988,Upper Nass,Nass,0.239673723,NA,NA
1989,Upper Nass,Nass,0.239576012,28133.12091,8863.503822
1990,Upper Nass,Nass,0.239061137,24051.46014,7556.151583
1991,Upper Nass,Nass,0.380500276,6906.565384,4242.051984
1992,Upper Nass,Nass,0.523740607,16808,18483.69244
1993,Upper Nass,Nass,0.458177306,24814,20983.26963
1994,Upper Nass,Nass,0.447049669,21169,17114.72788
1995,Upper Nass,Nass,0.613445278,7844,12448.08171
1996,Upper Nass,Nass,0.47424955,21842,19702.42473
1997,Upper Nass,Nass,0.465864666,18702,16311.59826
1998,Upper Nass,Nass,0.485861766,23212.99767,21936.33401
1999,Upper Nass,Nass,0.588735869,11544,16525.5522
2000,Upper Nass,Nass,0.438734841,18046.70399,14106.91129
2001,Upper Nass,Nass,0.358700041,28329,15845.3362
2002,Upper Nass,Nass,0.502404291,13352,13481.02879
2003,Upper Nass,Nass,0.382625159,25848.36761,16019.82314
2004,Upper Nass,Nass,0.499671371,15184.75174,15164.80427
2005,Upper Nass,Nass,0.451067258,13706.4869,11262.85058
2006,Upper Nass,Nass,0.380672701,23594.27408,14502.34156
2007,Upper Nass,Nass,0.390034869,22136.3129,14154.7991
2008,Upper Nass,Nass,0.275516457,19630,7465.163443
2009,Upper Nass,Nass,0.267401344,26226,9572.591484
2010,Upper Nass,Nass,0.264513615,18381,6610.625105
2011,Upper Nass,Nass,0.456097869,9599.57232,8049.875571
2012,Upper Nass,Nass,0.423428295,8687.658926,6380.126826
2013,Upper Nass,Nass,0.455674942,8010.835631,6706.171263
2014,Upper Nass,Nass,0.466091901,11509,10047.14426
2015,Upper Nass,Nass,0.41380809,18262,12891.62
2016,Upper Nass,Nass,0.473806207,9037.178082,8137.441224
2017,Upper Nass,Nass,0.576206135,4419.24755,6008.575772
2018,Upper Nass,Nass,0.319289252,14470,6787.193383
2019,Upper Nass,Nass,0.439190547,10492.57143,8217.119298
2020,Upper Nass,Nass,0.338214759,12265.64831,6268.533994
2021,Upper Nass,Nass,0.373424401,11249.86778,6704.658055
2022,Upper Nass,Nass,0.16050518,13408.49337,2563.604437
2023,Upper Nass,Nass,0.227819223,10375.82595,3061.216599
2024,Upper Nass,Nass,0.529150414,12544.06673,14097.27924
