year,Ishkeenickh,Iknouk,Kincolith,Kwinamass,Kitsault,Khutzeeymateen ,Upper_Nass
1992,250,10,40,295,10,275,16808
1993,226,NA,NA,200,50,200,24814
1994,200,NA,2000,100,40,100,23639.33523
1995,150,NA,300,100,65,100,9184.609658
1996,250,NA,100,300,50,,21721.66547
1997,NA,NA,NA,300,20,150,21372.27329
1998,200,NA,NA,400,70,100,24908
1999,200,NA,NA,200,50,100,13069
2000,NA,50,NA,300,45,300,18085
2001,NA,NA,525.0012524,700,50,600,29341
2002,NA,NA,500,600,NA,300,14360
2003,NA,NA,450,450,NA,150,30740
2004,NA,NA,230,400,NA,NA,13736.6
2005,NA,NA,383.0985915,400,NA,350,13109.8
2006,NA,NA,257.9525737,500,NA,450,22580.6
2007,NA,NA,578.1442363,925,NA,550,20640.4
2008,NA,NA,364.2865833,120,NA,200,21046.8
2009,NA,NA,628,260,NA,NA,26500.4
2010,NA,NA,NA,240,NA,90,17801.2
2011,NA,NA,NA,NA,NA,NA,10555.2
2012,NA,NA,NA,354,NA,308,9380.8
2013,NA,NA,NA,216,NA,340,9342.4
2014,NA,NA,NA,610,NA,235,13909.2
2015,NA,NA,NA,296,NA,260,19532.2
2016,NA,NA,NA,NA,NA,NA,11020.6
2017,NA,NA,NA,NA,NA,NA,5793.8
2018,NA,NA,NA,222,NA,NA,17886.50066
2019,NA,NA,NA,410,NA,636,11713.50702
2020,486,NA,NA,50,NA,NA,12828.59754
2021,330,NA,NA,124,NA,32,11766.20747
2022,2465.714286,NA,NA,NA,NA,NA,14410.16049
2023,341.4374057,NA,316,237,NA,81,9758.95353
2024,908,NA,736,98,NA,NA,12477.71027
2025,1059,425,2528,NA,NA,NA,10359.97269
